,mood,title,tags,artist_name
14,angry,Side A,['lafms'],Airway
15,angry,Side B,['lafms'],Airway
604,happy,Tomb Of Science,['baltimore'],Human Host
605,happy,Six Realms,['baltimore'],Human Host
606,happy,Escape From the Organ Chamber,['baltimore'],Human Host
622,angry,Pipe Sketch,"['portland', 'pdx']",Ian Nagoski
742,happy,Song Recorded Immediately Upon Return from X-Ray Eyes tour '96,['baltimore'],Jason Willett
743,happy,Beautiful Song w/ kick drum solo,['baltimore'],Jason Willett
744,happy,Or So I've Been Told,['baltimore'],Jad Fair and Jason Willett
783,angry,Sweet Potato Sugar Tots,['baltimore'],Lexie Mountain Boys
794,happy,Les Jardins (De L'bouli),['baltimore'],LO MOdA
795,happy,Electric World,['baltimore'],LO MOdA
970,angry,Various Cut Lazerdiscs,['baltimore'],Nautical Almanac
972,angry,Live One-Off Metal Laquer,['baltimore'],Nautical Almanac
976,angry,"""Cleanse Bath"" 10"" Metal Laquer",['baltimore'],Nautical Almanac
980,angry,1998 Tour CD,['baltimore'],Nautical Almanac
985,angry,One-Off Overcut Metal Laquer,['baltimore'],Nautical Almanac
988,angry,0001 Tour Cdr Edge,['baltimore'],Nautical Almanac
991,angry,"""Lathedamage/maced"" Over Cut Vinyl 12""",['baltimore'],Nautical Almanac
1145,dance,The Moustache,['sound collage'],Qulfus
1146,dance,Sneevely Calls on Yellow,['sound collage'],Qulfus
1147,dance,Gold Bond,['sound collage'],Qulfus
1490,dance,The Pattern Dome,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1491,dance,Consciousness After Death,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1493,dance,Empirical Elimination,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1495,dance,Pixelated Reality Textures,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1497,dance,Esoteric Focus,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1499,dance,Fear Stunts Progress,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1501,dance,Understand,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1502,dance,Experiential,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1503,dance,A Convergence,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1504,dance,Cognitive Dissonance,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1505,dance,Fluid Solid Motion,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1506,dance,All Hangs Together,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
1549,angry,Buzz Chant,"['avant garde', 'experimental', 'noise', 'san francisco', 'big city orchestrae', 'big city orchestrae womens auxiliary', 'american cassette noise network', 'baltimore']",U.S. Girls
1677,dance,Dislocation,"['noise', 'soundscapes', 'experimental']",The Tleilaxu Music Machine
2382,happy,Backwards Organ,['new orleans'],Quintron
2383,happy,Drum Machine,['new orleans'],Quintron
2384,happy,Intro / Organ Music,['new orleans'],Quintron
2385,happy,Organ Music II,['new orleans'],Quintron
2402,funky,Sans Souci,"['jazz', 'acoustic guitar']",Reynold Philipsek
2403,funky,interview,"['jazz', 'acoustic guitar']",Reynold Philipsek
3263,happy,A Clever Combo (with The Breetles),"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3264,happy,"But You Love Me, Daddy (with Jim Reeves)","['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3265,happy,Reefer,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3266,happy,Technical Difficulty,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3267,happy,Prayer Pathetique,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3268,happy,Philosophy Of The World,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3274,happy,Why Am I Here,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3275,happy,Adult Tree,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3276,happy,Traded My Heart For Your Parts (Vocal by Llynda More),"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3277,happy,You Must Be Out Of My Mind,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3278,happy,You And Me,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3279,happy,Jessica Sandwich,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3280,happy,Signal,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3281,happy,Records,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3282,happy,Say Man,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3283,happy,Cease All Relationships (Phlegm Soundtrack excerpt),"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3284,happy,I've Begun To Fall In Love (Midi-Bran Piano Roll),"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3285,happy,Grease Theme,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3286,happy,A Whiter Shade Of Pale,"['children', 'jim reeves', 'youth performance', 'country', 'youth performer', 'r stevie moore']",R. Stevie Moore
3309,sad,Rock and Tree,['in her dream'],Bob Wiseman
3365,happy,Sabah Sabah Seyredelim Yaliyi,['il'],Orkestra Keyif
3374,happy,Semseyemin Ucu Kare with Oud Solo by Haig Manoukian,['il'],Orkestra Keyif
3382,happy,Telegrafin Tellerine,['il'],Orkestra Keyif
3422,happy,Derya'da Deryaliklar,['il'],Orkestra Keyif
3431,angry,Cheese / I Like Cheese / Cheese is Life (piano) / Football Practice,"['youth performer', 'for kids', 'kid-friendly', 'children', 'youth performance', 'childrens music']",The Cheese Band
3970,happy,Fix Me > Ski Bunny,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3971,happy,Trouble,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3972,happy,Dedicated,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3973,happy,Strawberry > I Dig You,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3974,happy,Drive Me Crazy,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3975,happy,Chocolate,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3976,happy,Count Me Out,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3977,happy,Sick,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3978,happy,Saved,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3979,happy,Sugar Bunny > Winn Coma,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3980,happy,Hustler,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3981,happy,Gerard,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3982,happy,Black Betty,"['new york city', 'punk', 'blues rock', 'garage rock', 'boss hog', 'noise rock']",Boss Hog
3995,dance,Intro Monstro Crescendo,"['new year', 'holiday music']",Messer Chups
3996,dance,Bright Headed Churchgoer,"['new year', 'holiday music']",FortyOne
3997,dance,Motomotion,"['new year', 'holiday music']",Principle Fetterman
3998,dance,Graduation Day,"['new year', 'holiday music']",Math and Physics Club
3999,dance,Lavender Hip Mob,"['new year', 'holiday music']",Lee Rosevere
4000,dance,Orgia of Dead 2,"['new year', 'holiday music']",Messer Chups
4001,dance,Hotcakes and Sausage,"['new year', 'holiday music']",The Old Codger (with R. Stevie Moore)
4002,dance,Duchamp's Dictionary,"['new year', 'holiday music']",The Fairsley Difference
4003,dance,New Years Party by Toptygin (live),"['new year', 'holiday music']",Kim & Buran
4004,dance,Rock'n Roll Boy,"['new year', 'holiday music']",Chenard Walcker
4005,dance,Beautiful Day,"['new year', 'holiday music']",Beth Sorrentino
4006,dance,Black Sheep/The Boy Who Babbles,"['new year', 'holiday music']",Morella
4007,dance,Sprung,"['new year', 'holiday music']",Very Proper Dragonflies
4008,dance,Lost at Sea (a Brilana remix),"['new year', 'holiday music']",The Apartment
4009,dance,Comfort Stand Records Remix Project : Song #1,"['new year', 'holiday music']",FortyOne
4010,dance,Devil Exit From Fashion,"['new year', 'holiday music']",Messer Chups
4011,dance,Untitled 2,"['new year', 'holiday music']",Harlan
4012,dance,Alien Pops Trilogy (featuring Midas),"['new year', 'holiday music']",FortyOne
4013,dance,Motomotion (Montana Mix),"['new year', 'holiday music']",Principle Fetterman
4014,dance,Everybody Lies,"['new year', 'holiday music']",Math and Physics Club
4015,dance,Tegwar,"['new year', 'holiday music']",Lee Rosevere
4016,dance,Polivox Box + Garage,"['new year', 'holiday music']",Messer Chups
4017,dance,Cracker Noise,"['new year', 'holiday music']",The Fairsley Difference
4018,dance,Birthday Party,"['new year', 'holiday music']",Kim & Buran
4019,dance,Lotus,"['new year', 'holiday music']",Chenard Walcker
4020,dance,Amazing,"['new year', 'holiday music']",Beth Sorrentino
4021,dance,Validity/Untitled,"['new year', 'holiday music']",Morella
4022,dance,Just Believe (We'll Get There),"['new year', 'holiday music']",Very Proper Dragonflies
4023,dance,Like A Virgin,"['new year', 'holiday music']",The Apartment
4024,dance,Comfort Stand Records Remix Project : Song #2,"['new year', 'holiday music']",FortyOne
4933,happy,"live dublab ""sprout session"" (11.24.08)",['chicago'],Icy Demons
5500,sad,Bah-num,['folk'],Big Blood
5501,sad,Baron in the Trees,['folk'],Big Blood
5502,sad,New Dish Rag,['folk'],Big Blood
5503,sad,Graceless Lady,['folk'],Big Blood
5504,sad,Blood Mumble,['folk'],Big Blood
5505,sad,Curee,['folk'],Big Blood
5506,sad,The Birds &amp; The Herds,['folk'],Big Blood
5507,sad,Tease it Like a Cop,['folk'],Big Blood
5508,sad,Night Lighter,['folk'],Big Blood
5509,sad,Terrapin (oh! syd),['folk'],Big Blood
5925,sad,Oh Country (Skin &amp; Bones),['folk'],Big Blood
6128,peaceful,"Goldberg Variations, BWV. 988 - Aria",['contrapuntus'],Aaron Dunn
6153,peaceful,"Bach - Aria Variata, BWV 989 Variation no.1","['piano', 'bach', 'classical', 'baroque']",Brendan Kinsella
6154,peaceful,"Bach - Aria Variata, BVW. 989 - Variation No. 2","['piano', 'bach', 'classical', 'baroque']",Brendan Kinsella
6155,peaceful,"Bach - Aria Variata, BVW. 989 - Variation No. 3","['piano', 'bach', 'classical', 'baroque']",Brendan Kinsella
6171,peaceful,"Franz Schubert -  Fantasy in C major D.760 (op.15) ""Wanderer"" - I. Allegro con fuoco ma non troppo","['franz peter schubert', 'classical', 'piano']",Daniel Blanch
6172,peaceful,"Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - II. Adagio","['franz peter schubert', 'classical', 'piano']",Daniel Blanch
6173,peaceful,"Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - III. Presto","['franz peter schubert', 'classical', 'piano']",Daniel Blanch
6174,peaceful,"Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - IV. Allegro","['franz peter schubert', 'classical', 'piano']",Daniel Blanch
6203,peaceful,"Sonata No. 13 in E Flat Major, Op. 27 No. 1 - IV. Allegro vivace - Tempo I - Presto","['piano', 'beethoven', 'classical', 'romanticism']",Daniel Veesey
