video_title,video_id,moods,labeled
♩♫ Dramatic Apocalyptic Music ♪♬ - The Wasteland (Copyright and Royalty Free),5eAalHA1bAc,CHILL,t
Nostalgy - (No Copyright Music) Sad Cinematic Background Music For Videos & Films - by AShamaluev,zViXwVZpWqY,SAD,t
Under The Radar Copyright Free music for youtube 2017 audio library Copyright free music,ZTgvcaVdw5I,CHILL,t
🔥Best of NCS 2017 Mix ♫ Gaming Music Mix ♫ No Copyright Music🔥 🔹CYRSE-MUSIK🔹,8ZbrPz_fnXs,CONFIDENT-SASSY,t
"[FREE] Lil Baby x Gunna Type Beat 2018 ""Situations"" | @BearMakeHits | Gunna Instrumental",5vSJTGpG5YM,CHILL,t
Alternative/Punk Music [No Copyright & Royalty Free] Sad Upbeat | DRIFTING,-Xp0wlc95o0,CHILL,t
Audio Library - No Copyright Music / Royalty Free Music / 저작권 없는 음악 / 저작권 무료 음악,HsUcPXxyfig,HAPPY,t
Catmosphere - Candy-Coloured Sky [Collaboration w/ Audio Library],3gOQDw7ri2w,HAPPY,t
Chill Carrier - 80s (No Copyright Music),3e0sjqsb-qY,CONFIDENT-SASSY,t
【Off Vocal】Yasuha. - I Lost Your Love feat. Hatsune Miku【ニコカラ】Instrumental初音ミク - キミを失って,1QejWtVKE8s,CHILL,t
Old School Love Instrumental Produce by TBD. [prototype beat],1wopHaiFqUI,HAPPY,t
Shiva In Exile - Earth Tone (Instrumental),4zrLieLZ_i8,CHILL,t
[Free Royalty] Scott Buckley - Snowfall (Piano Ambient) [No Copyright Music],AV286JRYr1c,SAD,t
Arythma - Current | No Copyright Music,APlQECiPoPw,HAPPY,t
Kabza De small_Umshove (Instrumental) & Black Motion_Joy Joy(Instrumental),9CrslZs_1xA,CONFIDENT-SASSY,t
Instrumental 1er minuto libre (sangre) Wos vs Stuart / Trueno vs Klan / Cacha vs MKS,9akplkxevi0,ANGRY,t
Blues Music  -  Instrumental Blues Guitar,GuOnsNSd-Ic,CHILL,t
"""Reset"" - An Okami Arrangement (Instrumental)",-SzIFcsrFTk,IN-LOVE,t
Logic - Indica Badu ft. Wiz Khalifa [Instrumental],-QQUaWtMW3w,CHILL,t
"""Dios esta aqui"" Musica Instrumental para orar y meditar",pFPUeoU418k,SAD,t
8 Remix - Almighty ft. Varios [INSTRUMENTAL + FLP],kmLvR68_nLg,CONFIDENT-SASSY,t
Chidinma - Gone forever | Karaoke Version ( Instrumental + Lyrics),NNexDl8QF6U,SAD,t
"Higurashi- ""Dear You"" Karaoke/Instrumental (Off Vocal)",LJQlwOE2haM,SAD,t
Adam Levine - Lost Stars (Guitar Acoustic Instrumental & Karaoke Lyric),yj8fQMY9nhM,SAD,t
Asking Alexandria - Moving On Instrumental (Studio Quality),ygdQigI-EBk,ANGRY,t
Instrumental 1er minuto libre (sangre) Dani vs Cacha,sulfBMv28EU,CONFIDENT-SASSY,t
I Am Willing Lord Instrumental with Lyrics,rSIA9hTv4OA,CHILL,t
"[FREE DL] Dave East Type Beat ""Momma Workin"" (Prod By.Sdotfire)",kQKLl6jXipQ,CHILL,t
Conway The Machine - Rex Ryan Ft. Westside Gunn & Roc Marciano Instrumental Extended,jqw0FGiewtw,CHILL,t
Instrumental 1er minuto libre (sangre) Papo vs Stuart / Dtoke vs Klan,jIsnDlPSMrA,CHILL,t
2Face - African Queen | Karaoke Version (instrumental + Lyrics),yt0GLpdzFmk,HAPPY,t
#1 Free Copyright Music [Compilation] Songs You've Heard and Don't Know the Name,xirevEiMa24,HAPPY,t
Nco Qub Hluas Nkauj Instrumental + Lyrics - Pov Thoj,lh5T6kzUJL0,CHILL,t
Jean Tè - Summer (feat. Harley Bird) | No Copyright Music,n9kBbDQr5kM,HAPPY,t
FortyThr33 - Tonight (No Copyright Music),mO2qBRK-xUk,HAPPY,t
Koj Yog Number One Instrumental + Lyrics - Hmong sad love song karaoke,iusk8mX15T4,IN-LOVE,t
DAGames - Left Behind  [Instrumental] [Remake by TheFrodesDiD] - FNAF: Sister Location SONG,fWOMRvGMO3s,ANGRY,t
Dilated Peoples  - Basics (Instrumental),eVTfwFk70wc,CONFIDENT-SASSY,t
Teppen E Dash Full  Instrumental,eRt8RY71hiY,CHILL,t
♫ Instrumental : Yandere Chan VS Monika - [ EPIC PIXEL BATTLE SAISON 3 ],bUMFOIAbH4s,ANGRY,t
Rumba  Instrumental Music,bPgAI-t1ovQ,IN-LOVE,t
Plam Koj Tim Vaj Loog Tsua Instrumental + Lyrics - FBI,ayXuv2PNhNI,SAD,t
Motionless In White - 570 Instrumental (Studio Quality),aNMqaUzUoxo,ANGRY,t
World & San - Shine (Instrumental),a3Rkmz5kR2E,CHILL,t
Ib Sim Neej Instrumental + Lyrics - Hmong sad love song,_ntkv1ovpW8,IN-LOVE,t
Mob Txaus Lawm Instrumental + Lyrics - Tijlaug Xab Thoj & Keeb Thoj - New Sad song 2019,XuUo34pqgYc,IN-LOVE,t
Hluas Nraug Vib Nais Instrumental + Lyrics - Lis Pos,WgYXtbtCTzY,CHILL,t
Akapellah - Milki (Remake - Instrumental),Vt6adjjww9g,CONFIDENT-SASSY,t
ADA - Only you Jesus | Karaoke Version ( Instrumental + Lyrics),dTNp9UtqQFw,HAPPY,t
Deception- YaYa DROPS (FREE Music) [NO COPYRIGHT],Yp8rOgdJn3c,SAD,t
Reggae Music [No Copyright & Royalty Free] Upbeat Chilled | RHASTAFARIAN,VY3RRCDUVgA,HAPPY,t
hindi no copyright music 2018 (1),TcPghi8kCzg,CHILL,t
Wood Spider - Hot October [No Copyright + Royalty Free Music],WctZ4ycaaug,CHILL,t
Migos - I Can ((INSTRUMENTAL)),E6dqEdx3Org,CONFIDENT-SASSY,t
"Famous Dex, Lil Pump, Smokepurpp - Two Guns ((INSTRUMENTAL))",E5SWz3suC2o,CHILL,t
No copyright music,CUcJNFH8Q0A,CONFIDENT-SASSY,t
Deuce - Nightmare Instrumental (Studio Quality),FWOjSjqBUuk,ANGRY,t
Infraction - Epic /Background Music (Royalty Free Music) (No Copyright music),G6j86Em1bYY,HAPPY,
Fashion Club No copyright sounds  [NCS spectre ] .,8wkM2eZ6KKM,HAPPY,
Zend Music | NAIMA - Let Me See You [NCS Release] | Free Music | No Copyright Music,X63vMgL702s,HAPPY,
Disfigure - Hollah! FREE DUBSTEP Creative Commons Music To Monetize || NCS ✔,ZzsWXK-MKME,HAPPY,
Damon Empero --- Changes (No Copyright Music),H2qHeZ-aScQ,HAPPY,
"Future ""Temptation"" Instrumental Prod. by Dices *FREE DL*",XeMkZ5SkLHs,HAPPY,
"[FREE TYPE BEAT] *Must Hear* Sad Drake x Logic Type Beat ""Haiku"" | Chill Trap Instrumental",14Cgt0oQ8aY,HAPPY,
Hollwood Undead - Bloody Nose Instrumental (Studio Quality),Hx-bxWLp7ok,ANGRY,t
Asking Alexandria - A Candlelit Dinner With Inamorta Instrumental (Studio Quality),N24Rp6Qzuog,ANGRY,t
Falling like the Stars (FEMALE PIANO INSTRUMENTAL KARAOKE) James Arthur,KjbP90vNfWE,HAPPY,t
Daphne - Jusqu'à La Gare | Version Karaoke ( Instrumental + Lyrics),KUb4BgpqnDw,HAPPY,t
Instrumental Blues Rock,dNKDRoYaHeU,CHILL,t
IllFiggy - Moon Trip (instrumental),NeoCvEuDa8s,CHILL,t
Motionless In White - Break The Cycle Instrumental (Studio Quality),EBibYcMklLQ,ANGRY,t
Bad Meets Evil - All I Think About Instrumental (Better Quality Remake!),L0aG7qRmZd8,CONFIDENT-SASSY,t
"""Regret"" - 90s OLD SCHOOL BOOM BAP BEAT HIP HOP INSTRUMENTAL - NodaMixBeats™",YxYF_N-xvk8,SAD,t
Boogie Down Productions - My Philosophy Instrumental,ga7keSKvC20,CHILL,t
Positive Music - New Life [Copyright Free],L0E_vGv8tIE,CHILL,t
[FREE] Sad Piano Hip-Hop Beat/Instrumental - Shadows - 2019 - Copyright Free - NodaMixBeats™,SvtA1ZL-FxM,SAD,t
Blues Music - Jam Packed -  Instrumental,LCtla1Ghegc,CHILL,t
JJBA: Golden Wind - Fighting Gold (Instrumental Cover),ysl_BmGzcDI,CONFIDENT-SASSY,t
"Kevin Gates ""Intro Edition"" Instrumental Prod. by Dices *FREE DL*",gnxnQZaVkGM,CONFIDENT-SASSY,t
Kendrick Lamar - Blood. (RoadsArt Instrumental Remix),x1frIzjJv5E,CHILL,t
Wildlight - Lily Moon(Instrumental Mix),s0BzOnvirwU,CHILL,t
''Menace'' - Dope Trap Beat | Free Hard Hip Hop Rap Instrumental 2019,raihkbCDBw4,CONFIDENT-SASSY,t
Cim Ntsoov Cia Instrumental + Lyrics,qL034NgzGxY,SAD,t
Dark Hip Hop Free Instrumental {Rap Beat} 2014 (prod. by Nupel Beats),nISU9BUm9E0,ANGRY,t
"DJ Crazy Toones, WC, Maylay,Xzibit,MC Ren , Roll on Em (Instrumental)",myEZ7ujsf9w,CONFIDENT-SASSY,t
Gostes - Alone,zhi-8AX-ccY,SAD,t
Attila - Subhuman Instrumental (Studio Quality),wjqmt8Gp8NY,ANGRY,t
TFM - House Music No 11 [Best Royalty Free Music] 2019,wM3TBw82W_Y,HAPPY,t
J. Cole - BRACKETS (Instrumental Remake),stTd98I8F4Y,CHILL,t
"Kendrick Lamar & Pharrell ""The Mantra"" Instrumental Prod. by Dices *FREE DL*",rA2eMqLk89Q,CHILL,t
Nco Qub Hluas Nraug Instrumental + Lyrics - Girl version,iPqaRRdb7eQ,CHILL,t
"THE CREATOR LIED TO US (Fansong Instrumental) - Noah McKnight, Swiblet, & MizzNeon",hXe0Elz7WV8,CONFIDENT-SASSY,t
NEFFEX - Never Give Up ☝️ [Copyright Free],_70Q-Xj3rEo,CONFIDENT-SASSY,t
Logic - Indica Badu ft. Wiz Khalifa [Instrumental],ZgO2pN2xmVU,CONFIDENT-SASSY,t
NEFFEX - Careless 💔 [Copyright Free],Z6L4u2i97Rw,ANGRY,t
[Deemo 2.0] Fluquor [Instrumental] [Full HD],YE11lAgCaAU,SAD,t
♩♫ Epic and Dramatic Music ♪♬ - Flight Hymn (Copyright and Royalty Free),XCr0bsng60Y,SAD,t
Freeman and K Rhyme Le Roi   Le Dernier Coup Instrumental,Ws5Txm6b78c,CONFIDENT-SASSY,t
Lost Ashes - Scattered (No Copyright Music),iEyS09E-E8w,CHILL,t
Tsu Surf    Killing Me Instrumental,dWNjRcJiUJQ,CHILL,t
"Young Thug ""On The Run"" Instrumental Prod. by Dices *FREE DL*",b4T5TuaUab8,CONFIDENT-SASSY,t
Medicine by Daughter | Instrumental,WJjxHNnebtM,SAD,t
One Day (When we all get to heaven) Matt Redman | Instrumental  | Cover by Sefanjo,RhogNmrjKrY,SAD,t
I Don't Care (PIANO INSTRUMENTAL KARAOKE) Ed Sheeran & Justin Bieber,QfUKaD7B2yk,SAD,t
No Copyright Music ♫ Keep Walking  - Rodrigo Vicente ♫ Free Music Army,F5HA2nN6Pwc,HAPPY,t
ATLYSS - Lucid | No Copyright Music,3a71EwVv5Tk,CONFIDENT-SASSY,t
Flipmode Squad Meets The Conglomerate INSTRUMENTAL,3_4RBNNSVQ8,CHILL,t
Faux Tales - Atlas (Abandoned Remix) | No Copyright Music,2XsCWdyJ94s,IN-LOVE,t
"[SOLD]"" Graffiti "" - 90s Old School Storytelling Hip Hop Instrumental Rap Beat | AntiK Beats",2raUmsKIG6U,CHILL,t
JPB - Defeat The Night (Copyright Free Music) Vocals! TRAP!!?,2kPF0TbjdzY,ANGRY,t
Run by Daughter | Instrumental,2k3nY2N2M3g,HAPPY,t
Michael Jackson Heartbreak Hotel BWT Live Instrumental,2K2Y_58H6ck,CONFIDENT-SASSY,t
"Trippie Redd ""BILAP"" Instrumental Prod. by Dices *FREE DL*",28vPJrMDYmc,CONFIDENT-SASSY,t
Movie Soundtrack Music - No 12 _  Violin  - The Impossible [Free Download],B2-YpuhY9Kg,CONFIDENT-SASSY,t
"Rae Sremmurd ""Buckets"" Instrumental Prod. by Dices *FREE DL*",8g9TgP0uLFI,ANGRY,t
Twb Yuav Sib Tso Instrumental + Lyrics - Yeng Moua,89UyQ0X6V6k,IN-LOVE,t
[Electro Swing] Odd Chap - Jams (2017 re-edit) [No Copyright Music],AiTZL1DZJSs,CONFIDENT-SASSY,t
Barren Gates & M.I.M.E - Enslaved | No Copyright Music,8636XCfhkVM,ANGRY,t
Cjbeards --- Time (No Copyright Music),6MS7c072oZA,CHILL,t
Zend Music | SirensCeol - Nostalgia [NCS Release] | Free Music | No Copyright Music,xmTcvWS1Fp8,HAPPY,t
Zend Music | Mendum - Elysium [NCS Release] | Free Music | No Copyright Music,sCfVL8mULEA,IN-LOVE,t
Zend Music | JPB - High [NCS Release] | Free Music | No Copyright Music,sCcGq9g5iA4,HAPPY,t
No Copyright Music ♫ Bloody Pumpkin - SIRPRICE ♫  FREE MUSIC ARMY - Halloween Free Music,g6WptEqggwA,CONFIDENT-SASSY,t
Natural High - Tobu | No Copyright Sounds - Free Music,6gSgeEqdGLU,HAPPY,t
[FREE] Country Blues Hip-Hop Beat/Instrumental - Don't Stress - Copyright Free - NodaMixBeats™,60UHJq1cBCE,CHILL,t
"Drake ""Jaded"" Instrumental Prod. by Dices *FREE DL*",FWuV5QDm2ZM,CHILL,t
Koj Muaj Kuv Pluag [ Girl Version ] Instrumental + Lyrics,FeKr48-yIBM,SAD,t
Bullet For My Valentine - Don't Need You Instrumental (Studio Quality),ICYskide31c,ANGRY,t
Slipknot - All Out Life Instrumental (Studio Quality),Him_cYuckkI,ANGRY,t
Kaun Tujhe - Instrumental by JT,NuCsDnTkEYU,CHILL,t
"Eminem - Murder, Murder (Unmastered Instrumental)",Bbc7znh6i6g,ANGRY,t
Koj Mus Tau Zoo Neej Instrumental + Lyrics - Zuag Lauj,KbjDy3qNdu8,CHILL,t
Busy Beat - Silent Partner   [Free Music] Audio Library,YdC31KxPRzI,ANGRY,t
"Turn Up, Let's Go - Jazzy Hip Hop Beat Rap Instrumental (Royalty Free - No Copyright Music)",xOXmpTBqb_w,CHILL,t
Naron - Imagination (Inspired By Alan Walker),PyS3fO3zDmA,HAPPY,t
Parappa The Rapper 2 Instrumental: BIG,Jjs9C8Gb0Xw,HAPPY,f
The FifthGuys & Glitchedout - My Lane (ft. Tim Moyo) | No Copyright Music,-JGJRuqrC-U,HAPPY,
Serious Documentary - (No Copyright Music) Cinematic Background Music For Videos - by AShamaluev,PZBx12olpCc,HAPPY,
Young M.A. - Car Confessions Instrumental (Official),Vpy-ivqbffw,HAPPY,
Mendum ft. Eden - Elysium (Miro Remix) | No Copyright Music,dfFcNI7Cm18,IN-LOVE,t
JJD --- The Woods (No Copyright Music),dHgjBDO0kMY,HAPPY,t
Copy right free Nepali music Fulako Thunga,U9nyqlCdyts,CHILL,t
[No copyright Music] Muciojad - Aerial Ace,Y_J_1FU-36o,CHILL,t
Electro-Light - Symbolism pt.II | No Copyright Music,KzKPJxTKl8M,CHILL,t
Dirty Palm  Oblivion feat  Micah Martin (Arakel Fun No Copyright  Music),lHx631bnl0c,CONFIDENT-SASSY,t
No Copyright Sounds - Waiting - free background music for video production,wL09yAT1jgg,CHILL,t
"Jeremy Blake - Turn Up, Let's Go (Charmx's New Intro 2018 & Marcelo Adnet)",tWxdzvkl6yY,CHILL,t
Epic Orchestral Cinematic Music - Awaken [Copyright Free],rUM0pC8lFE8,SAD,t
